You Know I Care (Bb),346
Quintessence (F),347
Turn Out The Stars (C),347
Lush Life (Db)*,348
Django (Fm),349
Infant Eyes (Eb),349
If You Could See Me Now (Eb),350
Kids Are Pretty People (F),350
Dolphin Dance (Eb),351
In Your Own Sweet Way (Bb),351
Stolen Moments (Cm),352
Whisper Not (Cm),352
Doxy (Bb),353
Haunted Ballroom (F),353
Sugar (Cm),353
Bernie's Tune (Dm),354
Giant Steps (B),354
Killer Joe (C),354
Take Five (Cm),354
Things Ain't What They Use to Be (F),355
Work Song (Fm)*,355
Strollin' (Db),356
Anthropology (Bb),357
Oleo (Bb),357
Serpent's Tooth (Bb),357
Theme (The) (Bb),357
Airegan (Ab),358
Moanin' (Fm),358
Nardis (Em),358
Lazy Bird (G),359
Moment's Notice (Eb),359
Robbin's Nest (C),359
Milestones (Old) (Bb),360
Quasimodo (Eb),360
Serenity (Eb),361
Speak No Evil (Cm),361
Witch Hunt (Cm),361
Four (Eb),362
Ornithology (G),362
Solar (Cm),362
Night in Tunesia (Eb),363
Well You Needn't (F),363
Daahound (Eb),364
Yardbird Suite (C),364
Half Nelson (C),365
Lady Bird (C),365
Dig (Ab),366
Joy Spring (F),366
Billie's Bounce (F),367
Groovin' High (Eb),367
Tune Up (D),367
Bolivia (G),368
Smatter (Bbm),368
Falling Grace (Ab),369
Nica's Dream (Bbm),369
Night Has 1000 Eyes (G),370
This Is New (Cm),370
Impressions (Dm),371
Seven Steps to Heaven (F),371
So What (Dm),371
Joshua (Dm),372
Epistrophy (C#),373
I Mean You (F),373
Donna Lee (Ab),376
Salt Peanuts (F),377
Con Alma (E),374
Confirmation (F),374
Bebop (Eb),375
Jeanine (Ab),375
Isotope (C),376
Now's The Time (F),376
Solid (Bb),376
Tenor Madness (Bb),376
Byrdlike (F),377
Relaxin' at Camarillo (Bb),377
Vierd Blues (Bb),377
Gingerbread Boy (Bb),378
Speedball (C),378
Bessie's Blues (Eb),379
Blue Trane (Cm),379
Equinox (Cm),379
Mr Sims (C),379
Au Privave (F),380
Blue Monk (Bb),380
Blues for Alice (F),380
Straight No Chaser (F),380
Bittersweet (C),381
Perhaps (C),381
Some Other Blues (F),381
Elsa (Eb),382
Very Early (C),382
It's a Raggy Waltz (G),382
West Coast Blues (Bb),382
Valse Hot (Ab),383
Waltz For Debby (F),383
How My Heart Sings (C),384
Windows (Bb),384
Ju-Ju (B),385
Night Dreamer (G),385
Simone (F),385
Sometime Ago (F),386
What Was (C),386
Recordame (Am),387
Silver's Serenade (Em),387
Song For Strayhorn (Eb),387
I Told You So (F),388
Think On Me (D),388
Little Sunflower (Dm),389
Lucky Southern (D),389
St Thomas (C),389
Liberated Brother (Gm),390
Manteca (Bb),390
Armando's Rhumba (Cm),391
Friends (C),391
Forest Flower (C),392
Spain (D),392
Ceora(Ab),393
Gregory Is Here (Bb),393
Gaviota (Cm),394
Pensativa (Gb),395
Soul Eyes (Eb),395
Blue Bossa (Cm),396
My Little Suede Shoes (Eb),396
Song For My Father (Fm),396
Sidewinder (Eb),396
Sister Sadie (G),396
Groove Merchant (Bb),397
Mercy Mercy Mercy (Bb),397
Watermelon Man (F),397
