Blues Connotation,Ornette Coleman,New Real Book: Vol. 1 - Digital Edition,27
Blues Dance,Al Cobine,Real Cool Book,5
Blues For Alice,Charlie Parker,New Real Book: Vol. 2,26
Blues For Alice,Charlie Parker,Best of Sher Music Co.,24
Blues For Pablo,Gil Evans,All-Jazz Real Book,54
Blues For Sarka,George Mraz,World's Greatest Fakebook,28
Blues For Yna Yna,Gerald Wilson,New Real Book: Vol. 2,27
Blues In The Closet,Oscar Pettiford,Real Easy Book: Vol. 1,9
Blues In The Night,Johnny Mercer & Harold Arlen,Standards Real Book,67
Blues in the Night,Arlen & Mercer,Digital Standards Songbook,31
Blues March,Benny Golson,Real Easy Book: Vol. 2,15
Blues On The Corner,McCoy Tyner,New Real Book: Vol. 1,28
Blues On The Corner,McCoy Tyner,New Real Book: Vol. 1 - Digital Edition,28
Bluesette,Toots Thielmans & Norman Gimbel,Standards Real Book,69
Bo-Peep,Barbara Dennerlein,European Real Book,39
Body and Soul,"E Heyman, R Sour, F Eyton & J Green",New Real Book: Vol. 2,29
Body and Soul,"Green, Heyman, Sour & Eyton",Digital Standards Songbook,33
Body and Soul (Coltrane),Johnny Green,New Real Book: Vol. 3,55
Bohemia After Dark,Oscar Pettiford,All-Jazz Real Book,58
Bolero Para Paquito,Hendrik Meurkens,European Real Book,37
Bolero Para Paquito,Hendrik Meurkens,Latin Real Easy Book,8
Bolivia,Cedar Walton,New Real Book: Vol. 2,31
Bolivia,Cedar Walton,Best of Sher Music Co.,25
Bomba De Corazon,Eddie Palmieri,Latin Real Book,89
Boogie Down,Al Jarreau & Michael Omartian,New Real Book: Vol. 1,29
Boogie Down,Al Jarreau & Michael Omartian,New Real Book: Vol. 1 - Digital Edition,29
Boplicity,Gil Evans & Miles Davis,Real Cool Book,9
Born To Be Blue,Mel Torme & Robert Wells,Standards Real Book,71
Born To Be Blue,Mel Torme & Robert Wells,Best of Sher Music Co.,27
Borzeguim,Antonio Carlos Jobim,All-Jazz Real Book,60
Both Sides Of The Coin,Michael Brecker,New Real Book: Vol. 1,35
Both Sides Of The Coin,Michael Brecker,New Real Book: Vol. 1 - Digital Edition,35
Bouncin' With Bud,Bud Powell,New Real Book: Vol. 1,37
Bouncin' With Bud,Bud Powell,New Real Book: Vol. 1 - Digital Edition,37
"Boy Next Door, The",Hugh Martin & Ralph Blane,New Real Book: Vol. 2,34
Brasileiro,Ray Obiedo,Latin Real Book,93
Brazilian Love Affair,George Duke,World's Greatest Fakebook,31
Brazilian Suite,Michel Petrucciani,All-Jazz Real Book,68
Breakfast Wine,Randy Aldcroft,New Real Book: Vol. 1,39
Breakfast Wine,Randy Aldcroft,New Real Book: Vol. 1 - Digital Edition,39
Breakin' Away,"Al Jarreau, Tom Canning & Jay Graydon",New Real Book: Vol. 1,41
Breakin' Away,"Al Jarreau, Tom Canning & Jay Graydon",New Real Book: Vol. 1 - Digital Edition,41
Brisa,Charles Otwell,Real Easy Book: Vol. 3,169
"Brite Piece, A",Dave Liebman,World's Greatest Fakebook,35
Broken Wing,Richie Beirach,All-Jazz Real Book,71
Broken Wing,Richie Beirach,Best of Sher Music Co.,30
Brothers Of The Bottom Row,Julian Joseph,New Real Book: Vol. 3,58
Bruca Manigua,Arsenio Rodriguez,Latin Real Book,97
Bu's Delight,Curtis Fuller,New Real Book: Vol. 3,59
Bud Powell,Chick Corea,New Real Book: Vol. 3,63
Building Bridges,Memo Acevedo & T. Promane,Latin Real Book,99
Bullet Train,Lee Ritenour & Ernie Watts,World's Greatest Fakebook,37
Burgundy And The Virgin Snow,Jim McNeely,World's Greatest Fakebook,41
But Beautiful,Jimmy Van Heusen & Johnny Burke,New Real Book: Vol. 1,44
But Beautiful,Jimmy Van Heusen & Johnny Burke,New Real Book: Vol. 1 - Digital Edition,44
But Not For Me,George & Ira Gershwin,Standards Real Book,73
But Not For Me,George & Ira Gershwin,Digital Standards Songbook,35
But Not For Me (Coltrane),George & Ira Gershwin,Standards Real Book,75
Butterfly,Herbie Hancock,New Real Book: Vol. 3,65
Butterfly Dreams,Stanley Clarke & Neville Potter,All-Jazz Real Book,72
By Any Means Necessary,Florian Ross,European Real Book,41
